id,total_recent,positive_recent,mood_recent,total_all,positive_all,mood_all
1238000,202,155,Mostly Positive,6001,4680,Mostly Positive
1238020,17,12,Mostly Positive,1298,960,Mostly Positive
1238040,63,51,Very Positive,1481,1214,Very Positive
1238050,0,0,,50,30,Mixed
1238060,189,147,Mostly Positive,4575,3568,Mostly Positive
1238070,0,0,,134,77,Mixed
1238080,82,56,Mixed,2887,1905,Mixed
1238180,0,0,,0,0,7 user reviews
1238440,0,0,,299,188,Mixed
1238660,0,0,,0,0,4 user reviews
1238680,0,0,,384,372,Very Positive
1238730,0,0,Very Positive,324,320,Very Positive
1238760,0,0,,138,107,Mostly Positive
1238761,0,0,,33,23,Mostly Positive
1238810,12634,9222,Mostly Positive,66527,46568,Mostly Positive
1238820,68,54,Very Positive,3976,2544,Mixed
1238840,5857,4919,Very Positive,47371,39791,Very Positive
1238860,4104,3488,Very Positive,27463,23618,Very Positive
1238871,0,0,,45,23,Mixed
1239020,37,21,Mixed,921,414,Mixed
1239050,0,0,Very Positive,753,685,Very Positive
1239060,0,0,,0,0,Positive
1239080,182,174,Overwhelmingly Positive,3835,3681,Overwhelmingly Positive
1239300,0,0,,42,36,Positive
1239520,56,42,Mostly Positive,3389,1863,Mixed
1239690,104,102,Overwhelmingly Positive,5344,5130,Overwhelmingly Positive
1240210,278,269,Overwhelmingly Positive,12141,11898,Overwhelmingly Positive
1240230,0,0,,168,147,Very Positive
1240360,0,0,,36,29,Positive
1240630,0,0,Very Positive,145,137,Very Positive
1241269,0,0,,0,0,6 user reviews
1241271,0,0,,120,117,Very Positive
1241550,0,0,,225,146,Mixed
1241570,0,0,,79,71,Very Positive
1241930,0,0,,78,73,Very Positive
1242760,0,0,,37,30,Positive
1243670,0,0,,282,259,Very Positive
1243830,108,73,Mixed,629,371,Mixed
1243880,0,0,,100,48,Mixed
1243890,0,0,,140,105,Mostly Positive
1243960,0,0,,195,183,Very Positive
1244040,0,0,,73,65,Very Positive
1244160,0,0,,71,68,Very Positive
1244460,0,0,,0,0,
1244560,0,0,,0,0,Positive
1244781,0,0,,175,73,Mixed
1245110,0,0,,0,0,7 user reviews
1245150,0,0,,547,278,Mixed
1245430,86,80,Very Positive,916,879,Overwhelmingly Positive
1245540,39,35,Very Positive,1117,1072,Overwhelmingly Positive
1245590,0,0,,45,36,Positive
1246030,0,0,,0,0,7 user reviews
1246032,0,0,,0,0,Positive
1246400,0,0,,50,40,Very Positive
1246520,0,0,,94,42,Mixed
1246870,0,0,,19,12,Mixed
1246930,0,0,,15,13,Positive
1247020,0,0,,57,49,Very Positive
1247270,0,0,,46,44,Positive
1248060,0,0,,311,164,Mixed
1248130,0,0,,0,0,
1248333,0,0,,30,28,Positive
1248334,0,0,,83,69,Very Positive
1248335,0,0,,30,18,Mixed
1248380,0,0,,259,230,Very Positive
1248430,0,0,,340,306,Very Positive
1248432,0,0,,258,242,Very Positive
1248434,0,0,,165,113,Mixed
1249070,0,0,,21,14,Mostly Positive
1249260,0,0,,62,53,Very Positive
1249770,0,0,,18,12,Mostly Positive
1249800,80,32,Mixed,7585,4778,Mixed
1250,191,169,Very Positive,34893,33497,Overwhelmingly Positive
1250410,1015,740,Mostly Positive,29168,21876,Mostly Positive
1250520,0,0,,83,77,Very Positive
1250650,21,16,Very Positive,1621,1248,Mostly Positive
1250730,0,0,,35,29,Positive
1250740,0,0,,15,12,Positive
1250760,218,213,Overwhelmingly Positive,2043,2002,Overwhelmingly Positive
1250770,0,0,,45,43,Positive
1251000,32,8,Mostly Negative,647,498,Mostly Positive
1251460,0,0,,253,242,Very Positive
1251850,0,0,,28,23,Positive
1251940,0,0,,0,0,Positive
1252010,0,0,,174,80,Mixed
1252200,0,0,,279,209,Mostly Positive
1252330,1312,1010,Mostly Positive,8896,6760,Mostly Positive
1252560,15,12,Very Positive,385,334,Very Positive
1252710,0,0,,304,200,Mixed
1252750,0,0,,253,225,Very Positive
1252830,0,0,,141,132,Very Positive
1252870,0,0,,153,128,Very Positive
1252990,0,0,,208,122,Mixed
1253190,0,0,,220,178,Very Positive
1253390,0,0,,41,36,Positive
1253520,0,0,,26,23,Positive
1253710,43,30,Mostly Positive,489,352,Mostly Positive
1253860,0,0,,108,65,Mixed
1253880,0,0,,0,0,Positive
1253920,171,155,Very Positive,3242,2885,Very Positive
1254370,201,166,Very Positive,769,699,Very Positive
1255000,0,0,,95,81,Very Positive
1255001,0,0,,58,50,Very Positive
1255150,0,0,,107,84,Mostly Positive
1255151,0,0,,169,133,Mostly Positive
