id,tag,type
1009460,Casual,T
1009460,Visual Novel,T
1009460,Romance,T
1009460,Anime,T
1009460,Story Rich,T
1009460,Single-player,C
1009460,Steam Achievements,C
1009460,Steam Cloud,C
1009560,Design & Illustration,T
1009560,City Builder,T
1009560,Life Sim,T
1009560,Management,T
1009560,Immersive Sim,T
1009560,God Game,T
1009560,Early Access,T
1009560,Building,T
1009560,Sandbox,T
1009560,Replay Value,T
1009560,Economy,T
1009560,Time Management,T
1009560,Base Building,T
1009560,Relaxing,T
1009560,Casual,T
1009560,Simulation,T
1009560,Stylized,T
1009560,Singleplayer,T
1009560,Indie,T
1009560,Comedy,T
1009560,Single-player,C
1009560,Steam Achievements,C
1009560,Steam Trading Cards,C
1009560,Captions available,C
1009560,Steam Cloud,C
1009820,Action,T
1009820,Gore,T
1009820,Violent,T
1009820,Horror,T
1009820,Online PvP,C
1009820,Online Co-op,C
1009820,Downloadable Content,C
1009820,Steam Achievements,C
1009820,Full controller support,C
1009820,Steam Trading Cards,C
1009820,Steam Cloud,C
1009820,Extreme violence,R
1009821,Action,T
1009821,Gore,T
1009821,Violent,T
1009821,Horror,T
1009821,Online PvP,C
1009821,Online Co-op,C
1009821,Downloadable Content,C
1009821,Steam Achievements,C
1009821,Full controller support,C
1009821,Steam Trading Cards,C
1009821,Steam Cloud,C
1009821,Extreme violence,R
1010139,Simulation,T
1010139,Trains,T
1010139,Single-player,C
1010139,Downloadable Content,C
1010139,Steam Achievements,C
1010139,Full controller support,C
1010139,Steam Trading Cards,C
1010220,Action,T
1010220,RPG,T
1010220,Anime,T
1010220,Single-player,C
1010220,Online PvP,C
1010220,Downloadable Content,C
1010220,Steam Achievements,C
1010220,Partial Controller Support,C
1010220,Steam Cloud,C
1010220,Stats,C
1010220,Steam Leaderboards,C
1010220,Sex,R
1010220,Violence,R
1010240,Casual,T
1010240,Indie,T
1010240,Simulation,T
1010240,Otome,T
1010240,Female Protagonist,T
1010240,Fantasy,T
1010240,Visual Novel,T
1010240,Romance,T
1010240,Single-player,C
1010600,Fantasy,T
1010600,Magic,T
1010600,Comedy,T
1010600,Romance,T
1010600,Anime,T
1010600,Adventure,T
1010600,Dating Sim,T
1010600,Sexual Content,T
1010600,Visual Novel,T
1010600,Nudity,T
1010600,Cute,T
1010600,Hentai,T
1010600,Multiple Endings,T
1010600,2D,T
1010600,Colorful,T
1010600,Demons,T
1010600,Drama,T
1010600,Funny,T
1010600,Gothic,T
1010600,Mystery,T
1010600,Single-player,C
1010600,Steam Achievements,C
1010600,Steam Trading Cards,C
1010600,Steam Cloud,C
1010750,FPS,T
1010750,Classic,T
1010750,Gore,T
1010750,Retro,T
1010750,Violent,T
1010750,Horror,T
1010750,Blood,T
1010750,Action,T
1010750,First-Person,T
1010750,Shooter,T
1010750,Cult Classic,T
1010750,1990's,T
1010750,Old School,T
1010750,Singleplayer,T
1010750,Pixel Graphics,T
1010750,2.5D,T
1010750,Atmospheric,T
1010750,Dark,T
1010750,Co-op,T
1010750,Multiplayer,T
1010750,Single-player,C
1010750,Steam Achievements,C
1010820,Action,T
1010820,Adventure,T
1010820,Indie,T
1010820,RPG,T
1010820,Violent,T
1010820,Sexual Content,T
1010820,Single-player,C
1010820,Online Co-op,C
1010820,Shared/Split Screen Co-op,C
1010820,Cross-Platform Multiplayer,C
1010820,Downloadable Content,C
1010820,Steam Achievements,C
1010820,Steam Trading Cards,C
1010820,Steam Workshop,C
1010820,Partial Controller Support,C
1010820,Includes level editor,C
1010821,Action,T
1010821,Adventure,T
1010821,Indie,T
1010821,RPG,T
1010821,Violent,T
1010821,Sexual Content,T
1010821,Single-player,C
1010821,Online Co-op,C
1010821,LAN Co-op,C
1010821,Cross-Platform Multiplayer,C
1010821,Downloadable Content,C
1010821,Steam Achievements,C
1010821,Steam Trading Cards,C
1010821,Steam Workshop,C
1010821,Partial Controller Support,C
1010821,Includes level editor,C
1011190,Horror,T
1011190,Immersive Sim,T
1011190,Detective,T
1011190,Hacking,T
1011190,Visual Novel,T
1011190,Artificial Intelligence,T
