id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1010240,Windows XP or better,1.2 GHz Pentium 4 or better,512 MB RAM,Integrated Graphics (onboard sufficient),,650 MB available space,,F
1010600,Windows 7/8/8.1/10,1.3GHz and above,512 MB RAM,,Version 9.0c,8 GB available space,,M
1010600,Windows 7/8/8.1/10,1.3GHz and above,1 GB RAM,,Version 9.0c,8 GB available space,,R
1010750,Windows 7 64-bit (32-bit not supported),Intel or AMD Dual-Core at 2.0 GHz,1 GB RAM,GPU with OpenGL 3.2 or DirectX 10 support (256 MB),Version 11,1 GB available space,Intel CPUs rendering graphics may not be OpenGL 3.2+ compatible.,M
1010750,Windows 10 64-bit (32-bit not supported),Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalent,2 GB RAM,,,1 GB available space,Intel CPUs rendering graphics may not be OpenGL 3.2+ compatible.,R
1010820,Windows 7,Intel i3 3.0 ghz,4 MB RAM,Intel Integrated Graphics,,600 MB available space,Two button mouse is required,M
1010820,Windows 8.1,Intel i5 3.5 ghz,8 MB RAM,Intel Integrated Graphics,,800 MB available space,Two button mouse is required,R
1010821,Windows 7,Intel i3 3.0 ghz,4 GB RAM,,,600 MB available space,Two button mouse is required,M
1010821,Windows 8.1,Intel i5 3.5 ghz,8 GB RAM,,,1000 MB available space,Two button mouse is required,R
1011190,Windows 7,"Intel Core i3, Ryzen 3 or equivalent",4 GB RAM,"nVidia GeForce 8800 GT, AMD Radeon HD 2400, Intel HD or any graphics card / APUs released from 2012 onwards",Version 9.0c,16 GB available space,Headphones recommended. 4K display supported on Windows 8+ only.,M
1011190,Windows 10,"Intel Core i5, Ryzen 5 or equivalent",8 GB RAM,"nVidia GTX 1060, AMD RX 480 or better",Version 9.0c,16 GB available space,4K Display and 5.1 surround setup recommended,R
1011610,Windows 7 or higher,"64 bit, 3.2 Ghz i3 Processor or equivalent",4 GB RAM,GeForce GTX 660 (2048 MB) or Radeon R9 285 (2048 MB) - Integrated GPUs may work but are not supported.,Version 9.0c,2 GB available space,,M
1011610,,,,,,,,R
1011670,Windows 7 or newer,Intel Core i5 2500K or equivalent,4 GB RAM,"GTX 560, Radeon HD 5870 or newer",Version 11,4 GB available space,Don't throw your hardware on the porch,M
