id,name
980,Respawn Entertainment
981,Sunhead Games
982,Rare Ltd
983,Bleakmill
984,Hi-Quality Jerzy Calinski
985,Golden Eggs Studio
986,MidnightWorks
987,Yangyang Mobile
988,ZA/UM
989,Cosmic Forces
990,JellySnow Studio
991,October Games
992,Xiexe
993,Facepunch Studios
994,Nitroplus
995,JAST USA
996,Headquarter S.L.
997,Ripstone
998,Arc System Works
999,Moregames
1000,BenStar
1001,Binge Gaming OU
1002,Runner Duck
1003,Keen Games
1004,Lock 'n Load Publishing
1005,Deadlycrow Games
1006,Sleepy Sentry
1007,SoftWarWare
1008,Cyanide Studio
1009,Ghostpie Studio
1010,SpaceOwl Games
1011,"Spike Chunsoft Co., Ltd."
1012,ayato sound create
1013,MegaPixel Studio S. A.
1014,Forever Entertainment S. A.
1015,Casey Donnellan Games LLC
1016,SMG Studio
1017,Team D-13
1018,Rosenfeld
1019,The Strategy Game Studio
1020,"What Pumpkin Games, Inc."
1021,Domini Games
1022,Big Fish Games
1023,Weed Games
1024,Weed Games 
1025,Freebird Games
1026,Movavi Software
1027,Incuvo S.A.
1028,Kube Games
1029,Splash Damage
1030,European Flameworms
1031,Union Onion
1032,Beer Night Studio
1033,Owlcat Games
1034,META Publishing
1035,OVERKILL - a Starbreeze Studio.
1036,Starbreeze Publishing AB
1037,ARVORE Immersive Experiences
1038, ARVORE Immersive Experiences
1039,Verlumino Studios LLC
1040,Synthetic Domain
1041,Mega9pixel
1042,Playsaurus
1043,Han Zhiyu
1044,ChaosGalaxyStudio
1045,Heaven Studios
1046,Mystive Studios
1047,JANUS LABS
1048,"Nicalis, Inc."
1049,ADOG
1050,苏州幻步网络科技有限公司
1051,Nicolas Meyssonnier
1052,John Szymanski
1053,New Blood Interactive
1054,Question
1055,Enokippu
1056,T.F. Wright
1057,Cordens Interactive
1058,MAGES. Inc.
1059,SharkFishFish
1060,Stardock Entertainment
1061,Al Fine
1062,Ninetail
1063,Chalcedony Network
1064,Heluo Studio
1065,香港商河洛互動娛樂股份有限公司
1066,Red Dot Games
1067,Palmsoft
1068,Copperglass
1069,VEWO Interactive Inc.
1070,HideChara
1071,AplusGames
1072,Branching Narrative Ltd
1073,Lil Hentai Games
1074,Orange Pylon Games
1075,Targem Games
1076,Owned by Gravity
1077,Nine Dots Studio
1078,Prime Matter
1079,Pawley Games
1080,Supermassive Games
1081,BANDAI NAMCO Entertainment Europe
1082,PersonaeGame Studio
1083,Red Ego Games
1084,Green Man Gaming Publishing 
1085,Jessy Lemieux
1086,Blackmyers Studio
1087,bitter sweet entertainment
1088,Eipix Entertainment
1089,Reality Inside Ltd.
1090,Winning Streak Games
1091,Stanislaw Truchowski
1092,TurnVex
1093,Pixeye Games
1094,TypeEh Studios
1095,FakeFish
1096,Nihon Falcom
1097,"NIS America, Inc."
1098,Sunward Games
1099,Finifugal Games
1100,Awaken Realms Digital
1101,Deka Ironworks
1102,DICO
1103,neko.works
1104,Behaviour Digital Inc.
1105,Volframe
1106,Starni Games
1107,Smee
1108,Kunos Simulazioni
1109,PlayTogether Studio
1110,The Artistocrats
1111,StudioS
1112,Eroge Japan
1113,Winged Cloud
1114,ustwo games
1115,24 Entertainment
1116,NetEase Games Montréal
1117,Stairport Sceneries
1118,Team Ladybug
1119, WSS playground
1120,@unepic_fran
1121,Lab 42
1122,Thunder Devs.
1123,Motion Twin
1124,DVloper
1125,Astral Pixel
1126,Inverse Game
1127,Snoozy Kazoo
1128,CUTE ANIME GIRLS
1129,Tranquility games
1130,Statespace
1131,Giant Sparrow
1132,Sinn Studio Inc.
1133,RUNWILD Entertainment
1134,Torpor Games
1135,3DClouds
1136,Dodge Roll
1137,Denneko Yuugi
1138,H5DEV Games
1139,Technomancy Studios
1140,niceplay games
1141,Nico Tuason
1142,Osumia Games
1143,RubberBandGames
1144,Friend & Fairy
1145,GalaxyTrail
1146,Just Trains
1147,Dovetail Games – Trains
1148,Cyberwave
1149,DreamSmith Studio
1150,AOEPLUS
1151,Small Studio by Mac Guff
1152,Atlas V
1153,Rockstar North
1154,Petroglyph
1155,Xlab Digital
1156,Unbound Creations
1157,Lars Ulrika
1158,Infuse Studio
1159,Calappa Games
1160,Dragons
1161,Cortopia Studios
1162,VDimension
1163,EIRTeam
1164,Nezon Production
1165,Aluba Studio
1166,MyDreamForever
1167,FRENCH-BREAD
1168,ARC SYSTEM WORKS
1169,J.Bowman
1170,Duoyi Games
1171,"TALESSHOP Co., Ltd."
1172,Orcsoft
1173,FAKKU
1174,Finches Games
1175,CubeGameAisa
1176,Forceight
1177,Windybeard
1178,SystemSoft Alpha Corporation
1179,Interwise Multimedia Corp.
1180,Rockstar New England
1181,TPP Studio
1182,Moon Moose
1183,Robi Studios
1184,G-MODE
1185,Sirlin Games
1186,巫女さん作法
1187,Quantic Dream
1188,Fully Involved Game Studios
1189,Streum On Studio
1190,Maxis
1191,Ghost Games
1192,BioWare
1193,Hazelight
1194,MOTIVE
1195,CyberLink
1196,ORIGAME DIGITAL
1197,Creepy Brothers
1198,iNK Stories
1199,Eyaura
1200,LunchHouse Software 
1201,Coldwood Interactive
1202,Jo-Mei Games
1203,Arrowiz
1204,Giiku Games
1205,No Strike
1206,Deimos Interactive
1207,Konfa Games
1208,Stave Studios
1209,Alter Games
1210,Keinart Lobre
1211,Exit Plan Games
1212,Greylock Studio
1213,Digerati
1214,Savage Game Design
1215,Echo Entertainment
1216,Dojin Otome
1217,People Can Fly
1218, Square Enix
1219,Colestia
1220,Nekotokage
1221,Chris Nordgren
1222,Foreign Gnomes
