id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1012790,Into the Radius VR,"Into the Radius is a single-player survival shooter for VR veterans. Stalk the Pechorsk Radius zone filled with surreal landscapes and dangerous anomalies. Use stealth, climbing or realistic firearms to explore, scavenge for loot and recover strange artifacts in an unforgiving dystopian environment.","20 Jul, 2020",86,86,N/A,,
1012840,Moons of Madness,"Moons of Madness is a first-person, story-driven cosmic horror game where the scientific exploration of Mars meets the supernatural dread of Lovecraft.","22 Oct, 2019",87,88,69,,
1012880,60 Seconds! Reatomized,"The post-apocalyptic dark comedy is back - remastered and even more radioactive than before! Scavenge supplies, rescue your family, and stay alive in your fallout shelter. Make difficult decisions, hunt mutant roaches... and maybe survive. Or not.","25 Jul, 2019",89,89,N/A,,
10130,TimeShift™,"Master time to become the ultimate weapon! Dr. Aiden Krone has made a Time Jump across the space-time continuum - a reckless act with frightening consequences. Now, a disturbing alternate reality has evolved within the bleak and rain-soaked Alpha District.","30 Oct, 2007",90,53,71,18,PEGI
1013300,Overcooked! 2 - Campfire Cook Off,,"18 Apr, 2019",91,92,N/A,,
1013750,Legal Dungeon,"Legal Dungeon is a game about organizing Police Investigation Documents. The player must review and provide an Investigation Verdict on reports ranging from petty theft to murder, in eight different criminal cases. Weigh the value of people’s lives to unlock all the collectables.","6 May, 2019",93,93,N/A,,
1013870,Leanna's Slice of Life,"In a world where demons exist, Kain and Leanna live in a relatively peaceful village. The two eventually get married. However, due to the incessant demon attacks, Kain becomes careless and falls into a lot of debt. It'll be up to Leanna to help pay off Kain's debts in this Slice of Life RPG!","7 Mar, 2019",94,78,N/A,,
1013910,Aron's Adventure,Aron's Adventure is an Action Adventure RPG that takes place in a fantasy world called Elor. An ancient evil re-awakens and the fate of the land is thrown into Aron's hands. Aron will have to unite the people all while learning how to use his new abilities.,"7 Apr, 2021",95,96,N/A,,
1014810,Happy Words,Happy words is a word based online multiplayer board game for 1 to 4 players in which you have to create words and connect them to existing words in order to score more points than your opponents.,"16 May, 2019",97,97,N/A,,
10150,Prototype™,"You are the Prototype, Alex Mercer, a man without memory armed with amazing shape-shifting abilities, hunting your way to the heart of the conspiracy which created you; making those responsible pay. Fast & Deadly Shape-Shifting Combat: Reconfigure your body to the situation at hand.","10 Jun, 2009",98,53,79,18,PEGI
